country_code_iso2,region,locode,port_name,latitude,longitude,facade,fao_areas,is_active
NO,,NOFNS,Fornes,68.86666667,17.46666667,,{27.2.a.2},False
ES,,ESBIO,Bilbao,43.2630126,-2.9349852,,{27.8.c},True
EE,,EELBN,Lobineem,59.63472222,25.96555556,,{27.3.d.32},False
SC,,SCFRK,Frégate,-4.583333333,55.93333333,,{51.5},False
BR,,BRIJE,Itapajé,-3.68333333333333,-39.5833333333333,,{41.1.2},False
BR,,BRAEI,Areia,-6.95,-35.7,,{41.1.2},False
TW,,TWTSA,Taipei Songshan Apt,25.06666667,121.55,,{61},False
BR,,BRSYB,Santa Maria De Itabira,-19.45,-43.1,,{41.1.3},False
CN,,CNMNK,Jiangcheng Mengkang,22.4833333333333,101.7,,{61},False
GB,,GBSME,Smethwick,52.5,-2.0,,"{27.7.e,27.7.a}",False
GB,,GBAGE,Bagstone,51.58333333,-2.45,,"{27.7.e,27.7.f}",False
BR,,BRENG,Seritinga,-21.9,-44.5166666666667,,{41.2.1},False
BR,,BRDPH,Doutor Pedrinho,-26.7166666666667,-49.4666666666667,,{41.2.1},False
ES,,ESTPC,Tapia De Casariego,43.57439199,-6.94378113,,{27.8.c},False
BR,,BRGUA,Guamaré,-5.1,-36.3166666666667,,{41.1.2},False
BR,,BRCFA,Canindé De São Francisco,-9.65,-37.7833333333333,,{41.1.2},False
BR,,BRBOR,Balneário Rincão,-28.8,-49.2333333333333,,{41.2.1},False
MY,,MYCRS,Cheras,3.1,101.716666666667,,{57.1},False
SE,,SESDL,Sundsvall,62.383,17.3,,{27.3.d.30},False
NL,,NLSHE,'S-Heerenhoek,51.45,3.766666667,,{27.4.c},False
HR,,HRTRK,Trstenik,42.9166666666667,17.4166666666667,,{37.2.1},False
BS,,BSMHH,Marsh Harbour,26.53333333,-76.96666667,,{31},False
BR,,BRGLP,São Gonçalo Do Rio Preto,-18.0,-43.3833333333333,,{41.1.3},False
